id,origin_city,origin_state,origin_country,origin_zip_code,dest_city,dest_state,dest_country,dest_zip_code,rate_type,pallet,weight,commodity,user_id_requested,rate,carrier,carrier_name,date_requested,date_completed,user_id_completed,note_completed,facility_code,note_request,ship_date,lane_or_quote,ltl_flags,carrier_active
861,Dallas,TX,US,,Houston,TX,US,,Van,,,,,1976,19,Anchor Bay Transport,2025-06-05 15:18:00,,,,,,,quote,,1
862,Indianapolis,IN,,,Oklahoma City,OK,,73101,Van,,22404,,,1576,11,Granite State Transport,2023-05-16 17:29:00,2023-05-16 17:36:00,112,,NJ-NWK,,,quote,,1
863,Miami,FL,US,,Orlando,FL,US,,Van,,,,,1495,1,Apex Freightways,2025-05-02 09:32:00,,,,GA-ATL,,2025-05-12,quote,,1
864,Cincinnati,OH,US,45201,Oklahoma City,OK,US,,Van,,,,,1645,15,Meridian Trucking,2025-07-30 12:27:00,,,,,,2025-08-09,lane,,1
865,Los Angeles,CA,US,,Indianapolis,IN,,46204,Van,,36140,,,2563,,,2024-10-30 18:46:00,,,,TX-DAL,,2024-11-04,lane,,1
866,Indianapolis,IN,US,,Milwaukee,WI,US,53201,Van,,31987,,,2022,22,Vanguard Freight Co.,2025-01-09 21:48:00,,,,TX-DAL,,2025-01-16,quote,,0
867,Pittsburgh,PA,,,Kansas City,MO,US,,Van,,,,,1432,,,2022-05-18 04:06:00,,,,,,2022-05-20,quote,,1
868,Des Moines,IA,US,,Newark,NJ,US,07102,Van,,,Refrigerated Goods,,2112,13,Frontier Hauling Co.,2024-07-13 01:24:00,,,,,,2024-07-16,lane,,1
869,Portland,OR,US,,Minneapolis,MN,US,55401,Van,,34411,,,2085,5,Stellar Freight Solutions,2023-12-29 09:49:00,,,,,,2024-01-10,quote,,1
870,Reno,NV,US,,Cleveland,OH,,,Van,,,,61,1101,,,2024-04-19 16:58:00,,,,TN-MEM,,,lane,,1
871,Detroit,MI,US,,Newark,NJ,US,07102,LTL,,,,,868,12,Riverbend Carriers,2022-02-19 13:27:00,,,,,,,lane,,1
872,St. Louis,MO,US,63101,Jacksonville,FL,,,Van,,,,,2008,,,2025-07-24 17:45:00,2025-07-24 19:17:00,161,,,,2025-07-31,quote,,1
873,Pittsburgh,PA,,,St. Louis,MO,,,Van,,46696,,,1633,,,2023-02-27 16:39:00,,,,,,2023-03-03,quote,,1
874,Charlotte,NC,US,,Louisville,KY,US,,Van,,29785,,142,2190,22,Vanguard Freight Co.,2025-03-04 00:04:00,2025-03-04 02:55:00,149,,,,,lane,,1
875,Memphis,TN,US,38101,Minneapolis,MN,US,,Van,,,,,911,,,2022-06-19 01:27:00,,,,NJ-NWK,,2022-07-03,lane,,1
876,Albuquerque,NM,,,Newark,NJ,US,,Van,,16090,Food Grade,,2683,,,2024-01-25 17:41:00,2024-01-25 20:40:00,96,,,,2024-02-02,quote,,0
877,Columbus,OH,US,,Phoenix,AZ,US,,Van,,32880,Industrial Machinery,178,2108,,,2024-09-19 18:36:00,,,,,,2024-09-25,lane,,1
878,Des Moines,IA,US,,Orlando,FL,US,32801,Van,,,,,2134,,,2024-08-02 12:31:00,2024-08-02 12:33:00,161,,,,,quote,,1
879,Orlando,FL,US,32801,Newark,NJ,US,,Van,,,,,1865,,,2023-07-20 14:33:00,,,,,,2023-07-27,lane,,1
880,Minneapolis,MN,,55401,Chicago,IL,US,60601,Van,,41228,Construction Materials,,1421,,,2022-08-20 01:10:00,,,,,,,quote,,1
881,Boise,ID,,,Detroit,MI,US,,Dump,,,,,2103,,,2023-09-21 09:42:00,,,,GA-ATL,,2023-10-01,quote,,1
882,Chicago,IL,,,Cleveland,OH,US,,Van,,28323,,,931,,,2025-01-06 21:25:00,2025-01-07 01:14:00,242,,,,,lane,,0
883,Louisville,KY,US,,Cincinnati,OH,US,45201,Van,,,,,2346,21,Skyline Logistics,2025-02-16 23:58:00,2025-02-17 00:30:00,155,,,,2025-02-23,lane,,1
884,Richmond,VA,US,,Atlanta,GA,US,,Van,,17530,Plastic Pellets,,1580,,,2024-11-10 13:35:00,,,,,,2024-11-16,lane,,0
885,St. Louis,MO,US,63101,Newark,NJ,US,,Van,,35139,,,1764,18,Pinepoint Freight,2023-04-21 20:41:00,,,,,,2023-04-22,lane,,1
886,Phoenix,AZ,,85001,Chicago,IL,,,Van,,,Lumber,,2451,,,2025-12-01 09:21:00,,,,,,2025-12-04,quote,,0
887,Indianapolis,IN,,,Birmingham,AL,US,35201,Van,,,Recycled Metals,148,2182,11,Granite State Transport,2025-02-27 17:41:00,,,,,,2025-03-05,lane,,1
888,Seattle,WA,US,,Buffalo,NY,US,,Van,,,,,1364,9,Summit Trail Freight,2022-02-11 01:33:00,,,,,,2022-02-16,lane,,1
889,Newark,NJ,,,Birmingham,AL,US,,Van,,36847,Lumber,,1316,,,2023-08-07 18:29:00,2023-08-07 19:45:00,236,,TX-DAL,,,lane,,1
890,St. Louis,MO,US,,Louisville,KY,US,40201,Van,,46143,,,1253,18,Pinepoint Freight,2024-05-14 05:51:00,,,,,,2024-05-27,lane,,0
891,Pittsburgh,PA,,15201,New Orleans,LA,US,70112,Van,,40003,,,1793,,,2024-05-22 03:22:00,,,,,,2024-05-27,lane,,1
892,Des Moines,IA,US,,Richmond,VA,US,,Van,,,Aggregate,,1954,2,Crossroads Logistics,2023-11-27 13:16:00,,,,,,2023-12-07,lane,,1
893,Long Beach,CA,US,,Los Angeles,CA,US,,Van,,34499,,,2014,,,2024-11-09 09:57:00,,,,,,2024-11-16,lane,,1
894,Omaha,NE,,,Salt Lake City,UT,US,,LTL,,7781,,,886,,,2025-10-09 23:07:00,,,,,,2025-10-12,lane,,1
895,Los Angeles,CA,US,,Birmingham,AL,US,35201,Van,,,,,2321,,,2025-02-06 16:19:00,,,,,,2025-02-12,quote,,1
896,Cleveland,OH,,,Sacramento,CA,US,,Van,,,,,1785,,,2024-02-14 17:07:00,,,,,,2024-02-24,lane,,0
897,Omaha,NE,US,,Kansas City,MO,US,,Van,,,Construction Materials,234,1297,,,2024-08-06 11:20:00,2024-08-06 15:02:00,128,,,,,lane,,1
898,Detroit,MI,,48201,Columbus,OH,US,,Dump,,31293,,35,3150,,,2025-02-01 03:07:00,,,,,,,lane,,1
899,Phoenix,AZ,US,85001,Reno,NV,,,Van,,45214,,,1271,11,Granite State Transport,2025-01-03 01:18:00,,,,,,,quote,,1
900,Richmond,VA,US,,Minneapolis,MN,US,,Van,,43193,,,1062,,,2023-10-26 19:03:00,,,,,,2023-11-04,lane,,1
901,Newark,NJ,US,,Long Beach,CA,US,90802,Van,,,,,1227,6,Sentinel Logistics,2023-12-21 21:39:00,2023-12-21 22:15:00,234,,,,2023-12-25,lane,,1
902,Nashville,TN,US,,Houston,TX,,77002,Dump,,,,,1522,,,2022-04-26 03:39:00,,,,,,2022-05-02,lane,,1
903,Columbus,OH,US,,Oklahoma City,OK,US,,Van,,,,,1084,,,2022-10-17 13:13:00,,,,,,,lane,,1
904,Atlanta,GA,,,Milwaukee,WI,,,Van,,,,,1925,18,Pinepoint Freight,2024-12-12 21:55:00,,,,OH-COL,,,lane,,1
905,Denver,CO,,,Reno,NV,,,LTL,,7160,,98,940,,,2022-10-01 15:07:00,,,,,,,quote,,0
906,Des Moines,IA,US,,Albuquerque,NM,,,LTL Haz,9,8588,,109,736,13,Frontier Hauling Co.,2022-03-19 15:13:00,,,,,,2022-03-31,lane,,1
907,Milwaukee,WI,,,Memphis,TN,US,38101,Van,,,,,1022,,,2023-12-25 11:16:00,,,,IL-MAIN,,,lane,,1
908,Dallas,TX,US,,Oklahoma City,OK,US,73101,Dump,,19933,,,1208,,,2024-12-21 03:36:00,2024-12-21 04:47:00,115,,NJ-NWK,,,lane,,1
909,Indianapolis,IN,US,,Portland,OR,US,97201,Van,,,,,1233,27,Buckeye Hauling,2024-08-03 06:11:00,2024-08-03 06:33:00,146,,,,,quote,,1
910,Louisville,KY,US,40201,Long Beach,CA,US,,Dump,,24925,,,2762,11,Granite State Transport,2022-01-25 00:09:00,,,,TN-MEM,,2022-02-05,lane,,1
911,Birmingham,AL,US,,New Orleans,LA,US,,Van,,45237,Chemicals (non-haz),,1289,,,2022-03-02 15:15:00,2022-03-02 18:41:00,164,,CA-LB,,,lane,,1
912,Houston,TX,US,,Portland,OR,,97201,Van,,,Auto Parts,,2326,,,2022-08-24 08:20:00,,,,,,2022-08-29,lane,,0
913,Indianapolis,IN,,,Pittsburgh,PA,US,,LTL Haz,,5808,,,694,,,2025-05-29 04:11:00,,,,NJ-NWK,,2025-06-05,lane,,0
914,St. Louis,MO,,,Portland,OR,,,Van,,,,,1746,15,Meridian Trucking,2024-11-20 13:41:00,,,,,,2024-11-24,lane,,1
915,Salt Lake City,UT,,,Newark,NJ,US,,Van,,43171,,,1872,25,Wayfinder Carriers,2022-07-18 18:42:00,2022-07-18 22:42:00,157,,,,2022-08-01,lane,,1
916,Milwaukee,WI,US,,Columbus,OH,US,43215,Van,,30120,,,1688,,,2026-04-13 00:32:00,,,,,,2026-04-18,lane,,1
917,Minneapolis,MN,,55401,Omaha,NE,US,68101,LTL,,3433,,,925,,,2024-06-11 06:25:00,,,,CA-LB,,,quote,,1
918,Jacksonville,FL,,32099,Louisville,KY,US,,Van,,,,,2589,1,Apex Freightways,2025-05-28 05:04:00,,,,,,2025-06-09,lane,,0
919,Minneapolis,MN,US,,Birmingham,AL,,,Van,,,,146,1061,13,Frontier Hauling Co.,2024-09-14 00:33:00,,,,TN-MEM,,,lane,,1
920,Birmingham,AL,US,,Des Moines,IA,US,50301,Dump,,37075,,172,1728,,,2025-02-28 23:29:00,,,,,,2025-03-07,lane,,0
921,Des Moines,IA,US,,Albuquerque,NM,US,,Van,,21299,,,1842,3,Beacon Transport,2023-05-14 03:56:00,2023-05-14 07:31:00,82,,,,,lane,,0
922,Detroit,MI,US,,Nashville,TN,US,37201,Dump,,,,,2321,,,2023-11-09 10:48:00,2023-11-09 12:35:00,125,,,,2023-11-15,lane,,1
923,Memphis,TN,US,,Columbus,OH,,,Dump,,,Refrigerated Goods,,2736,,,2025-08-09 22:32:00,2025-08-09 23:09:00,187,,,,2025-08-17,quote,,1
924,Salt Lake City,UT,,,Detroit,MI,,,Van,,21206,Beverages,,2686,,,2025-10-20 07:22:00,,,,,,2025-10-25,lane,,1
925,Memphis,TN,,38101,Miami,FL,,,Dump,,41764,,208,1130,18,Pinepoint Freight,2023-12-27 01:03:00,,,,IL-MAIN,,2023-12-28,quote,,0
926,Louisville,KY,US,40201,Houston,TX,US,,Van,,,,,2252,27,Buckeye Hauling,2021-10-26 08:34:00,,,,,,2021-11-07,lane,,0
927,Cincinnati,OH,,,Milwaukee,WI,US,,Van,,,,124,2194,,,2023-08-06 00:06:00,,,,,,2023-08-07,quote,,1
928,Kansas City,MO,US,64101,Phoenix,AZ,US,,LTL,,,,,970,,,2024-11-25 14:42:00,,,,,,2024-11-26,lane,,1
929,Cincinnati,OH,US,,Milwaukee,WI,US,,Van,,25462,,100,1940,,,2025-05-28 08:50:00,,,,IL-MAIN,,2025-06-11,lane,,0
930,Cleveland,OH,US,44101,Orlando,FL,,,Van,,37038,,,2323,9,Summit Trail Freight,2024-01-25 23:48:00,,,,,,2024-01-27,lane,,0
931,Los Angeles,CA,,,Newark,NJ,,07102,Van,,43117,,,1320,22,Vanguard Freight Co.,2024-09-14 06:34:00,,,,TN-MEM,,2024-09-22,lane,,1
932,Minneapolis,MN,US,,Nashville,TN,,37201,Flatbed,,33282,,,1467,,,2025-05-17 03:02:00,2025-05-17 03:45:00,228,,NJ-NWK,,,lane,,1
933,Long Beach,CA,US,,Albuquerque,NM,US,,Van,,,,,2390,,,2022-02-25 05:03:00,,,,IL-MAIN,,2022-03-07,lane,,1
934,Oklahoma City,OK,US,73101,Long Beach,CA,US,,Van,,,,,2491,12,Riverbend Carriers,2025-02-17 17:26:00,2025-02-17 20:39:00,46,,,,,quote,,1
935,Sacramento,CA,US,95814,Denver,CO,US,,Van,,,Aggregate,,2171,30,Silver Spur Carriers,2024-10-02 02:13:00,,,,,,2024-10-08,quote,,1
936,Birmingham,AL,US,35201,Newark,NJ,US,07102,Van,,28290,,,2118,,,2021-10-16 22:32:00,2021-10-17 01:11:00,140,,,,,lane,,1
937,Milwaukee,WI,US,,Boise,ID,,83701,Van,,47800,,,956,9,Summit Trail Freight,2021-05-28 09:35:00,2021-05-28 12:42:00,203,,,,2021-06-10,quote,,1
938,Atlanta,GA,,,Portland,OR,US,,Van,,43998,,102,2128,14,Polaris Freight Group,2023-12-06 11:54:00,,,,OH-COL,,2023-12-14,lane,,1
939,Newark,NJ,US,07102,Milwaukee,WI,US,,Van,,31910,,,2507,28,Heartland Express Co.,2023-12-14 00:30:00,,,,,,2023-12-20,quote,,1
940,Memphis,TN,,,Chicago,IL,,,Van,,29983,Industrial Machinery,,984,30,Silver Spur Carriers,2025-01-25 19:51:00,,,,,,,quote,,1
941,Buffalo,NY,US,,Denver,CO,,80201,Van,,,Aggregate,,1657,,,2022-06-07 00:20:00,2022-06-07 00:52:00,245,,,,,lane,,1
942,Newark,NJ,US,,Columbus,OH,,,Van,,,,,1913,,,2025-08-02 15:21:00,,,,CA-LB,,2025-08-12,quote,,1
943,Indianapolis,IN,US,,Miami,FL,,,Van,,,Lumber,,966,4,Iron Range Carriers,2025-01-24 11:49:00,,,,OH-COL,,,lane,,1
944,New Orleans,LA,US,,Dallas,TX,US,,Van,,34773,,,1805,15,Meridian Trucking,2023-09-03 07:33:00,2023-09-03 08:22:00,247,,,,2023-09-17,lane,,1
945,Cincinnati,OH,,,St. Louis,MO,US,,Van,,,Steel Coils,,2506,,,2023-08-07 01:28:00,,,,,,2023-08-08,lane,,1
946,Salt Lake City,UT,US,84101,Richmond,VA,US,23218,Van,,,,,2149,,,2024-06-11 23:32:00,,,,,,2024-06-18,lane,,1
947,Chicago,IL,,,Salt Lake City,UT,,84101,Van,,,,,1489,,,2025-10-05 19:49:00,2025-10-05 20:42:00,167,,IL-MAIN,,2025-10-07,lane,,1
948,Birmingham,AL,US,35201,Oklahoma City,OK,,,Dump,,,,,1640,,,2023-05-24 13:54:00,2023-05-24 16:56:00,240,,,,2023-06-07,lane,,1
949,New Orleans,LA,US,,Long Beach,CA,US,,Van,,,,,1091,25,Wayfinder Carriers,2025-05-04 11:41:00,,,,,,2025-05-06,quote,,1
950,Long Beach,CA,,,Louisville,KY,US,,Van,,,,,925,,,2024-08-14 05:11:00,2024-08-14 05:59:00,211,,CA-LB,,2024-08-24,lane,,0
951,Memphis,TN,US,38101,Cleveland,OH,,44101,Van,,27994,Refrigerated Goods,,1275,15,Meridian Trucking,2023-02-02 01:56:00,,,,OH-COL,,2023-02-03,lane,,0
952,Boise,ID,US,83701,Chicago,IL,US,,Van,,37924,,,2008,,,2024-07-21 23:25:00,,,,,,2024-07-22,lane,,1
953,Reno,NV,,89501,Los Angeles,CA,US,,Van,,,,,1672,14,Polaris Freight Group,2022-08-19 12:14:00,,,,,,2022-09-01,quote,,1
954,Oklahoma City,OK,US,73101,Nashville,TN,US,,Van,,,,235,2368,16,Coastline Carriers,2024-08-16 00:28:00,,,,,,2024-08-25,quote,,0
955,Richmond,VA,US,,Atlanta,GA,,30303,Van,,17134,,,1403,,,2022-04-29 11:49:00,,,,,,2022-05-13,lane,,1
956,Houston,TX,,,Atlanta,GA,US,,Van,,,,,1307,11,Granite State Transport,2025-08-02 10:22:00,,,,,,2025-08-12,quote,,0
957,Buffalo,NY,,,Detroit,MI,US,,LTL,,,Recycled Metals,,455,,,2023-01-31 05:18:00,,,,,,2023-02-03,quote,,1
958,Des Moines,IA,US,,Dallas,TX,US,,Van,,18698,,,1112,16,Coastline Carriers,2025-02-07 12:20:00,,,,CA-LB,,2025-02-17,quote,,0
959,Los Angeles,CA,,,Omaha,NE,US,,Van,,39404,,,1317,14,Polaris Freight Group,2023-10-09 03:37:00,2023-10-09 05:20:00,134,,GA-ATL,,2023-10-13,quote,,1
960,Memphis,TN,,,Buffalo,NY,US,14201,Van,,,Beverages,,1467,2,Crossroads Logistics,2025-04-05 07:01:00,2025-04-05 09:34:00,60,,GA-ATL,,2025-04-14,lane,,1
961,Des Moines,IA,,50301,Long Beach,CA,US,,Van,,,,,1151,,,2025-05-11 16:54:00,,,,,,,lane,,1
962,Phoenix,AZ,US,,Reno,NV,,89501,Van,,,Lumber,,2041,,,2025-01-22 00:19:00,,,,,,2025-01-23,lane,,0
963,Kansas City,MO,US,,Denver,CO,US,80201,Van,,,,,2223,,,2024-11-11 13:17:00,2024-11-11 15:32:00,105,,,,2024-11-24,lane,,1
964,Albuquerque,NM,,87101,Jacksonville,FL,US,32099,Van,,,,,1473,26,Old Glory Freight,2024-11-03 05:23:00,,,,TX-DAL,,2024-11-16,lane,,1
965,Minneapolis,MN,US,55401,Kansas City,MO,US,64101,LTL,,,,,825,6,Sentinel Logistics,2023-08-06 05:35:00,,,,GA-ATL,,2023-08-11,quote,,1
966,Kansas City,MO,US,,Cincinnati,OH,US,,Van,8,38678,,,1674,16,Coastline Carriers,2023-12-28 08:58:00,,,,,,2024-01-11,lane,,1
967,Reno,NV,US,,Buffalo,NY,US,,Van,,,Industrial Machinery,,1655,17,Black Hills Logistics,2023-08-03 14:05:00,2023-08-03 16:38:00,76,,,,2023-08-04,lane,,1
968,Louisville,KY,US,40201,Columbus,OH,,,Van,,42764,,222,1062,,,2024-12-26 22:22:00,2024-12-27 00:50:00,103,,,,2024-12-29,lane,,1
969,Miami,FL,,,Los Angeles,CA,,,Van,,27886,,,1727,,,2025-09-26 22:06:00,,,,,,2025-10-10,lane,,0
970,Richmond,VA,US,,Miami,FL,US,33101,Van,,,Steel Coils,,1080,,,2022-01-04 08:56:00,,,,,,2022-01-10,lane,,1
971,Pittsburgh,PA,,,Cincinnati,OH,,45201,Van,12,,,,1801,9,Summit Trail Freight,2023-06-14 15:10:00,2023-06-14 16:40:00,129,,,,,lane,,1
972,Boise,ID,US,,Omaha,NE,,68101,Van,,,,,2662,11,Granite State Transport,2024-03-28 06:33:00,,,,,,2024-03-30,lane,,1
973,Des Moines,IA,,,Richmond,VA,US,,Van,,47029,,,2423,,,2021-11-10 07:30:00,,,,,,2021-11-17,quote,,1
974,Reno,NV,,89501,Cincinnati,OH,,,Dump,,40408,,,2710,30,Silver Spur Carriers,2023-10-23 13:16:00,,,,,,,quote,,1
975,Atlanta,GA,US,,Dallas,TX,US,75201,Van,,17687,,,2155,,,2025-09-01 05:36:00,,,,,,2025-09-10,lane,,1
976,Charlotte,NC,,,Cincinnati,OH,US,,Van,,41512,,,1747,,,2024-08-23 07:13:00,2024-08-23 09:18:00,185,,,,2024-08-27,quote,,1
977,Los Angeles,CA,,,Buffalo,NY,,,Van,,18059,,,1596,,,2024-03-08 20:32:00,,,,NJ-NWK,,2024-03-21,quote,,1
978,Phoenix,AZ,US,85001,Memphis,TN,US,38101,Dump,,,,215,2732,,,2024-07-30 04:53:00,2024-07-30 06:51:00,35,,,,2024-08-13,lane,,1
979,Chicago,IL,US,,New Orleans,LA,,,Van,,25468,,,1782,,,2024-08-09 05:49:00,,,,,,,quote,,1
980,Louisville,KY,,40201,Orlando,FL,US,32801,Van,,,,,1321,,,2024-01-06 09:10:00,2024-01-06 12:15:00,198,,GA-ATL,,2024-01-17,lane,,1
981,Milwaukee,WI,,,Cincinnati,OH,US,,Van,,31938,,,2693,,,2024-08-30 02:39:00,,,,OH-COL,,2024-09-03,quote,,0
982,Houston,TX,,77002,Birmingham,AL,,,Van Haz,,,,,2035,4,Iron Range Carriers,2024-01-19 16:55:00,,,,,,2024-01-26,lane,,0
983,Des Moines,IA,US,,Indianapolis,IN,US,,Dump,,,Refrigerated Goods,60,3191,10,Tideland Logistics,2023-09-19 06:28:00,,,,IL-MAIN,,2023-09-20,lane,,1
984,Sacramento,CA,,,Kansas City,MO,,64101,Van,,,,,1487,,,2024-07-06 20:55:00,,,,TX-DAL,,,quote,,1
985,Los Angeles,CA,,90001,Houston,TX,US,77002,Van,,,,,1208,,,2024-01-30 18:43:00,2024-01-30 21:18:00,246,,IL-MAIN,,,lane,,1
986,Milwaukee,WI,US,,Detroit,MI,US,,Dump,,,,,2466,17,Black Hills Logistics,2023-06-10 08:13:00,,,,,,2023-06-21,quote,,1
987,Kansas City,MO,,,Seattle,WA,US,98101,Van,,32449,,,1925,27,Buckeye Hauling,2021-08-27 02:59:00,2021-08-27 03:58:00,137,,OH-COL,,2021-08-28,lane,,1
988,Orlando,FL,,,Atlanta,GA,US,,Van,,,,110,2321,,,2024-12-15 13:16:00,,,,TX-DAL,,2024-12-24,lane,,0
989,Omaha,NE,US,68101,Cincinnati,OH,US,,Van,,,,,1315,13,Frontier Hauling Co.,2023-11-18 22:25:00,,,,,,,lane,,0
990,St. Louis,MO,US,,Columbus,OH,US,,LTL,,,Industrial Machinery,,452,13,Frontier Hauling Co.,2023-05-27 19:33:00,,,,,,2023-06-03,lane,,0
991,Richmond,VA,,,Indianapolis,IN,US,46204,Van,,,,,1619,,,2024-09-04 23:35:00,2024-09-05 00:59:00,212,,,,2024-09-12,quote,,1
992,Nashville,TN,,,Richmond,VA,US,,Van,,,,222,952,,,2023-02-14 16:47:00,2023-02-14 20:04:00,173,,NJ-NWK,,2023-02-17,lane,,1
993,Pittsburgh,PA,US,,Atlanta,GA,US,30303,Van,,,,,1174,,,2024-07-22 06:19:00,2024-07-22 07:13:00,152,,OH-COL,,,quote,,1
994,Columbus,OH,US,,Miami,FL,,,Van,,46750,Paper Products,,2687,26,Old Glory Freight,2025-12-02 20:09:00,2025-12-02 20:57:00,79,,,,2025-12-06,lane,,0
995,Atlanta,GA,,,Seattle,WA,,,Van,,,,,1635,17,Black Hills Logistics,2025-06-26 02:30:00,,,,,,2025-06-27,lane,,0
996,Orlando,FL,US,,Charlotte,NC,,28201,Van,,,,167,2430,2,Crossroads Logistics,2022-08-25 05:20:00,2022-08-25 05:40:00,188,,,,2022-09-05,lane,,1
997,St. Louis,MO,US,,Atlanta,GA,,,Van,,46737,,,1248,7,Cardinal Carriers,2025-05-02 23:53:00,,,,GA-ATL,,2025-05-12,lane,,1
998,Memphis,TN,,,Cincinnati,OH,,,LTL,,,,197,591,,,2024-01-21 04:49:00,2024-01-21 05:07:00,246,,,,2024-02-04,quote,,1
999,Kansas City,MO,US,,Reno,NV,,,Van,,38200,,,1815,18,Pinepoint Freight,2023-06-15 12:12:00,,,,,,2023-06-29,lane,,1
1000,Charlotte,NC,US,,Richmond,VA,,23218,Dump,,31110,,,3007,,,2023-12-28 20:31:00,,,,,,2024-01-02,lane,,1
1001,Indianapolis,IN,,,St. Louis,MO,US,,Van,,,,,2229,17,Black Hills Logistics,2021-09-28 06:37:00,,,,,,,quote,,1
1002,Chicago,IL,US,,Indianapolis,IN,,,Van,,,,,1980,,,2024-09-10 10:05:00,,,,,,2024-09-22,lane,,1
1003,Albuquerque,NM,US,,Dallas,TX,,,LTL Haz,,,,,553,22,Vanguard Freight Co.,2024-02-11 01:32:00,,,,,,2024-02-19,quote,,1
1004,Los Angeles,CA,,,Detroit,MI,US,,Dump,,,,,1820,,,2022-10-23 12:24:00,2022-10-23 13:51:00,157,,,,2022-10-29,quote,,1
1005,Memphis,TN,US,38101,Phoenix,AZ,,,Van,,46473,Aggregate,119,2207,,,2024-03-31 00:30:00,,,,,,2024-04-12,lane,,1
1006,Buffalo,NY,US,14201,Omaha,NE,US,,Van,,,,156,1138,8,Northwind Trucking,2024-08-05 13:56:00,,,,,,,quote,,1
1007,Columbus,OH,US,,Seattle,WA,US,,Van,,18396,,,1608,13,Frontier Hauling Co.,2025-08-04 00:13:00,,,,,,2025-08-05,quote,,0
1008,Buffalo,NY,,,Reno,NV,US,,Van,,30548,Paper Products,,2050,5,Stellar Freight Solutions,2025-06-01 18:02:00,,,,,,,lane,,1
1009,Newark,NJ,,,Omaha,NE,,68101,Dump,,45373,,,1833,,,2025-12-01 01:03:00,,,,,,2025-12-02,quote,,1
1010,Richmond,VA,,,Miami,FL,US,,Dump,,,,,1920,,,2023-09-20 16:05:00,2023-09-20 16:11:00,181,,TN-MEM,,2023-10-02,lane,,1
1011,Indianapolis,IN,US,46204,Newark,NJ,,,Van,,,,,2359,,,2022-02-02 22:26:00,,,,,,2022-02-15,lane,,1
1012,Detroit,MI,US,,Salt Lake City,UT,US,,Van,,,Industrial Machinery,,2122,,,2023-11-12 02:23:00,,,,,,2023-11-14,lane,,1
1013,Cleveland,OH,US,,Charlotte,NC,US,,Van,,,,,1557,26,Old Glory Freight,2024-02-25 08:03:00,,,,,,,lane,,1
1014,Sacramento,CA,US,,Omaha,NE,US,,Van,,23064,,,1896,11,Granite State Transport,2025-11-19 09:54:00,,,,,,2025-11-26,lane,,1
1015,Charlotte,NC,US,,New Orleans,LA,,70112,Van,,27164,,,1195,,,2022-06-01 08:15:00,,,,TX-DAL,,,quote,,1
1016,Minneapolis,MN,,,Miami,FL,US,33101,Van,,,,,1728,,,2025-06-12 04:20:00,2025-06-12 05:03:00,228,,TX-DAL,,2025-06-25,lane,,1
1017,Indianapolis,IN,US,,Atlanta,GA,,,Van,,27379,,,1310,,,2023-01-10 18:06:00,,,,,,,lane,,1
1018,New Orleans,LA,US,,Denver,CO,US,,Van,,44003,,,1482,,,2023-09-19 08:44:00,,,,OH-COL,,,quote,,1
1019,Indianapolis,IN,US,,St. Louis,MO,US,,Flatbed,,19943,,,2303,,,2026-02-22 23:49:00,2026-02-23 00:23:00,146,,CA-LB,,2026-03-02,quote,,1
1020,Charlotte,NC,,,Portland,OR,,,Van,,17463,,,2052,,,2023-08-27 19:32:00,,,,CA-LB,,2023-09-01,lane,,1
1021,Milwaukee,WI,,,Columbus,OH,,,Van,,38385,,,2041,,,2021-03-29 13:53:00,2021-03-29 17:30:00,30,,,,2021-04-05,lane,,1
1022,Des Moines,IA,US,,Cleveland,OH,,,Van,,,,92,1875,20,Crestwood Carriers,2023-03-19 18:44:00,,,,NJ-NWK,,2023-03-31,lane,,1
1023,Cleveland,OH,US,44101,Indianapolis,IN,,,Van,,21608,,,1182,,,2024-02-17 06:08:00,2024-02-17 07:06:00,171,,,,2024-02-24,quote,,1
1024,Nashville,TN,US,,Memphis,TN,US,,Van,,,,,1147,19,Anchor Bay Transport,2023-01-10 14:27:00,,,,,,,lane,,1
1025,Albuquerque,NM,US,,Oklahoma City,OK,US,73101,Van,,,,,1882,,,2025-03-01 16:09:00,,,,,,2025-03-09,quote,,1
1026,Nashville,TN,US,,Omaha,NE,,,Dump,,,,,1925,,,2023-08-16 23:36:00,,,,,,,lane,,0
1027,Buffalo,NY,US,,Cincinnati,OH,US,45201,Van,,,,,1591,4,Iron Range Carriers,2025-03-31 01:53:00,,,,,,2025-04-03,lane,,1
1028,Minneapolis,MN,US,,Phoenix,AZ,,,Van,,18427,,,1595,17,Black Hills Logistics,2023-11-02 15:22:00,2023-11-02 16:08:00,85,,,,2023-11-07,quote,,1
1029,Indianapolis,IN,US,46204,St. Louis,MO,US,63101,Van,,28219,,82,1262,18,Pinepoint Freight,2023-06-02 16:37:00,,,,TN-MEM,,,quote,,1
1030,Atlanta,GA,US,,Buffalo,NY,US,,Van,,,,,1499,20,Crestwood Carriers,2023-06-15 06:32:00,,,,OH-COL,,2023-06-16,quote,,1
1031,Houston,TX,,,Richmond,VA,US,,Van,,25017,,,1899,12,Riverbend Carriers,2025-06-12 18:56:00,,,,IL-MAIN,,,lane,,1
1032,Albuquerque,NM,US,,Chicago,IL,,60601,Van,,,Food Grade,,2030,,,2024-10-15 07:36:00,,,,NJ-NWK,,2024-10-21,lane,,1
